A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,decision
0.906032,AODV,88,10240,32,0,0,Route Request,0,2,40,0,0,6,11,9.17,4,2.49,4,7.27,normal
0.00025,AODV,84,16384,28,1,3000,Route Reply,100,7,41,1,0,6,11,9.17,4,2.49,4,7.27,attack
0.001306,AODV,88,10240,32,1,0,Route Request,0,0,40,1,0,6,11,9.17,4,2.49,4,7.27,normal
0.00023,AODV,88,10240,32,0,0,Route Request,0,1,42,0,0,6,11,9.17,4,2.49,4,7.27,attack
0.001904,AODV,88,10240,32,2,0,Route Request,0,6,40,1,0,6,11,9.17,4,2.49,4,7.27,normal
0.001166,AODV,88,10240,32,2,0,Route Request,0,5,40,1,0,6,11,9.17,4,2.49,4,7.27,normal
0.000966,AODV,88,10240,32,1,0,Route Request,0,0,41,1,0,6,11,9.17,4,2.49,4,7.27,normal
0.00133,AODV,66,0,10,0,0,Route Reply Acknowledgment,0,7,43,2,0,6,11,9.17,4,2.49,4,7.27,normal
0.009458,UDP,1104,0,1048,0,0,0,0,8,44,2,0,6,11,9.17,4,2.49,4,7.27,normal
0.001251,AODV,88,10240,32,2,0,Route Request,0,3,40,1,0,6,11,9.17,4,2.49,4,7.27,normal
0.009076,UDP,1104,0,1048,0,0,0,0,8,45,2,0,6,11,9.17,4,2.49,4,7.27,normal
0.00267,AODV,88,10240,32,1,0,Route Request,0,4,42,1,0,6,11,9.17,4,2.49,4,7.27,normal
0.001941,AODV,88,10240,32,2,0,Route Request,0,4,43,1,0,6,11,9.17,4,2.49,4,7.27,normal
0.000955,AODV,88,10240,32,2,0,Route Request,0,0,42,1,0,6,11,9.17,4,2.49,4,7.27,normal
0.000914,AODV,84,0,28,3,5359,Route Reply,1,7,46,1,0,6,11,9.17,4,2.49,4,7.27,normal
0.001484,AODV,88,10240,32,1,0,Route Request,0,3,41,1,0,6,11,9.17,4,2.49,4,7.27,normal
0.000914,AODV,84,0,28,2,2985,Route Reply,100,9,48,1,0,6,11,9.17,4,2.49,4,7.27,normal
0.001885,AODV,88,10240,32,1,0,Route Request,0,3,42,1,0,6,11,9.17,4,2.49,4,7.27,normal
0.002749,AODV,88,10240,32,2,0,Route Request,0,5,42,1,0,6,11,9.17,4,2.49,4,7.27,normal
0.001087,AODV,88,10240,32,1,0,Route Request,0,6,42,1,0,6,11,9.17,4,2.49,4,7.27,normal
0.000354,AODV,84,16384,28,1,3000,Route Reply,100,10,46,1,0,6,11,9.17,4,2.49,4,7.27,attack
0.000987,AODV,88,10240,32,3,0,Route Request,0,5,43,1,0,6,11,9.17,4,2.49,4,7.27,normal
0.009655,UDP,1104,0,1048,0,0,0,0,8,49,2,0,6,11,9.17,4,2.49,4,7.27,normal
0.001965,AODV,88,10240,32,4,0,Route Request,0,3,43,1,0,6,11,9.17,4,2.49,4,7.27,normal
0.001127,AODV,88,10240,32,4,0,Route Request,0,4,46,1,0,6,11,9.17,4,2.49,4,7.27,normal
0.002949,AODV,88,10240,32,1,0,Route Request,0,6,43,1,0,6,11,9.17,4,2.49,4,7.27,normal
0.002171,AODV,88,10240,32,3,0,Route Request,0,6,44,1,0,6,11,9.17,4,2.49,4,7.27,normal
0.002243,AODV,84,0,28,3,2985,Route Reply,100,11,47,1,0,6,11,9.17,4,2.49,4,7.27,normal
0.001314,AODV,84,0,28,3,2985,Route Reply,100,11,47,1,0,6,11,9.17,4,2.49,4,7.27,normal
0.009495,UDP,1104,0,1048,0,0,0,0,8,51,2,0,6,11,9.17,4,2.49,4,7.27,normal
0.000954,AODV,84,0,28,2,3000,Route Reply,100,12,50,1,0,6,11,9.17,4,2.49,4,7.27,normal
0.000354,AODV,84,16384,28,1,3000,Route Reply,100,13,49,1,0,6,11,9.17,4,2.49,4,7.27,attack
0.000871,AODV,66,0,10,0,0,Route Reply Acknowledgment,0,12,51,2,0,6,11,9.17,4,2.49,4,7.27,normal
0.001084,AODV,66,0,10,0,0,Route Reply Acknowledgment,0,10,52,2,0,6,11,9.17,4,2.49,4,7.27,normal
0.001279,AODV,84,0,28,4,5279,Route Reply,1,9,48,1,0,6,11,9.17,4,2.49,4,7.27,normal
0.000914,AODV,84,0,28,5,5279,Route Reply,1,7,52,1,0,6,11,9.17,4,2.49,4,7.27,normal
0.001116,AODV,66,0,10,0,0,Route Reply Acknowledgment,0,14,48,2,0,6,11,9.17,4,2.49,4,7.27,normal
0.001308,AODV,84,0,28,2,3000,Route Reply,100,10,53,1,0,6,11,9.17,4,2.49,4,7.27,normal
0.0013,AODV,84,0,28,4,2985,Route Reply,100,12,54,1,0,6,11,9.17,4,2.49,4,7.27,normal
0.000914,AODV,84,0,28,2,3000,Route Reply,100,15,49,1,0,6,11,9.17,4,2.49,4,7.27,normal
0.001034,AODV,84,0,28,3,2970,Route Reply,100,16,50,1,0,6,11,9.17,4,2.49,4,7.27,normal
0.001015,AODV,84,0,28,4,3000,Route Reply,100,15,50,1,0,6,11,9.17,4,2.49,4,7.27,normal
0.009075,UDP,1104,0,1048,0,0,0,0,8,53,2,0,6,11,9.17,4,2.49,4,7.27,normal
0.000954,AODV,84,0,28,2,3000,Route Reply,100,17,48,1,0,6,11,9.17,4,2.49,4,7.27,normal
0.002323,AODV,84,0,28,3,3000,Route Reply,100,9,51,1,0,6,11,9.17,4,2.49,4,7.27,normal
0.000915,AODV,84,0,28,5,3000,Route Reply,100,9,52,1,0,6,11,9.17,4,2.49,4,7.27,normal
0.001076,AODV,84,0,28,4,2970,Route Reply,100,17,49,1,0,6,11,9.17,4,2.49,4,7.27,normal
0.003668,AODV,66,0,10,0,0,Route Reply Acknowledgment,0,13,50,2,0,6,11,9.17,4,2.49,4,7.27,normal
0.000914,AODV,84,0,28,5,2975,Route Reply,0,15,52,1,0,6,11,9.17,4,2.49,4,7.27,normal
0.000914,AODV,84,0,28,6,2975,Route Reply,0,9,54,1,0,6,11,9.17,4,2.49,4,7.27,normal
0.000914,AODV,84,0,28,4,3000,Route Reply,100,13,53,1,0,6,11,9.17,4,2.49,4,7.27,normal
0.005851,AODV,84,0,28,0,0,Route Error,"1,0",14,66,2,0,6,11,9.17,4,2.49,4,7.27,normal
0.006412,AODV,84,0,28,0,0,Route Error,"1,0",9,70,2,0,6,11,9.17,4,2.49,4,7.27,normal
0.002486,AODV,76,0,20,0,0,Route Error,1,7,70,2,0,6,11,9.17,4,2.49,4,7.27,normal
0.003309,AODV,76,0,20,0,0,Route Error,0,14,77,2,0,6,11,9.17,4,2.49,4,7.27,normal
0.004868,AODV,88,10240,32,2,0,Route Request,0,5,40,1,0,7,10,6.29,2,2.49,3,6.82,normal
0.002148,AODV,88,10240,32,0,0,Route Request,0,4,41,0,0,7,10,6.29,2,2.49,3,6.82,attack
0.001843,AODV,88,10240,32,1,0,Route Request,0,2,40,1,0,7,10,6.29,2,2.49,3,6.82,normal
0.00095,AODV,88,10240,32,1,0,Route Request,0,8,40,1,0,7,10,6.29,2,2.49,3,6.82,normal
0.000956,AODV,88,10240,32,3,0,Route Request,0,7,40,1,0,7,10,6.29,2,2.49,3,6.82,normal
0.001247,AODV,88,10240,32,4,0,Route Request,0,8,41,1,0,7,10,6.29,2,2.49,3,6.82,normal
0.001546,AODV,88,10240,32,4,0,Route Request,0,2,41,1,0,7,10,6.29,2,2.49,3,6.82,normal
0.003251,AODV,88,10240,32,1,0,Route Request,0,7,41,1,0,7,10,6.29,2,2.49,3,6.82,normal
0.001138,AODV,88,10240,32,1,0,Route Request,0,1,41,1,0,7,10,6.29,2,2.49,3,6.82,normal
0.00181,AODV,88,10240,32,1,0,Route Request,0,1,42,1,0,7,10,6.29,2,2.49,3,6.82,normal
0.000956,AODV,88,10240,32,3,0,Route Request,0,7,42,1,0,7,10,6.29,2,2.49,3,6.82,normal
0.000986,AODV,88,10240,32,2,0,Route Request,0,1,43,1,0,7,10,6.29,2,2.49,3,6.82,normal
0.002356,AODV,88,10240,32,3,0,Route Request,0,6,42,1,0,7,10,6.29,2,2.49,3,6.82,normal
0.001007,AODV,88,10240,32,1,0,Route Request,0,3,41,1,0,7,10,6.29,2,2.49,3,6.82,normal
0.002075,AODV,88,10240,32,4,0,Route Request,0,8,42,1,0,7,10,6.29,2,2.49,3,6.82,normal
0.002404,AODV,88,10240,32,3,0,Route Request,0,7,43,1,0,7,10,6.29,2,2.49,3,6.82,normal
0.000354,AODV,84,16384,28,1,3000,Route Reply,100,9,44,1,0,7,10,6.29,2,2.49,3,6.82,attack
0.001252,AODV,88,10240,32,4,0,Route Request,0,2,42,1,0,7,10,6.29,2,2.49,3,6.82,normal
0.001922,AODV,88,10240,32,1,0,Route Request,0,3,42,1,0,7,10,6.29,2,2.49,3,6.82,normal
0.000967,AODV,88,10240,32,4,0,Route Request,0,8,43,1,0,7,10,6.29,2,2.49,3,6.82,normal
0.002758,AODV,88,10240,32,1,0,Route Request,0,5,42,1,0,7,10,6.29,2,2.49,3,6.82,normal
0.003565,AODV,84,16384,28,1,3000,Route Reply,100,10,46,1,0,7,10,6.29,2,2.49,3,6.82,attack
0.001123,AODV,88,10240,32,3,0,Route Request,0,6,43,1,0,7,10,6.29,2,2.49,3,6.82,normal
0.001025,AODV,84,16384,28,1,3000,Route Reply,100,11,47,1,0,7,10,6.29,2,2.49,3,6.82,attack
0.002336,AODV,88,10240,32,4,0,Route Request,0,3,43,1,0,7,10,6.29,2,2.49,3,6.82,normal
0.001126,AODV,88,10240,32,4,0,Route Request,0,1,46,1,0,7,10,6.29,2,2.49,3,6.82,normal
0.000986,AODV,88,10240,32,1,0,Route Request,0,5,43,1,0,7,10,6.29,2,2.49,3,6.82,normal
0.00079,AODV,66,0,10,0,0,Route Reply Acknowledgment,0,11,48,2,0,7,10,6.29,2,2.49,3,6.82,normal
0.001371,AODV,88,10240,32,3,0,Route Request,0,5,44,1,0,7,10,6.29,2,2.49,3,6.82,normal
0.000934,AODV,84,0,28,4,3000,Route Reply,100,11,49,1,0,7,10,6.29,2,2.49,3,6.82,normal
0.000914,AODV,84,0,28,2,3000,Route Reply,100,12,50,1,0,7,10,6.29,2,2.49,3,6.82,normal
0.000954,AODV,84,0,28,2,3000,Route Reply,100,10,50,1,0,7,10,6.29,2,2.49,3,6.82,normal
0.003209,AODV,66,0,10,0,0,Route Reply Acknowledgment,0,10,51,2,0,7,10,6.29,2,2.49,3,6.82,normal
0.001075,AODV,66,0,10,0,0,Route Reply Acknowledgment,0,13,52,2,0,7,10,6.29,2,2.49,3,6.82,normal
0.003642,AODV,66,0,10,0,0,Route Reply Acknowledgment,0,9,48,2,0,7,10,6.29,2,2.49,3,6.82,normal
0.001299,AODV,84,0,28,2,3000,Route Reply,100,13,53,1,0,7,10,6.29,2,2.49,3,6.82,normal
0.001309,AODV,84,0,28,4,2985,Route Reply,100,10,54,1,0,7,10,6.29,2,2.49,3,6.82,normal
0.000914,AODV,84,0,28,2,3000,Route Reply,100,14,49,1,0,7,10,6.29,2,2.49,3,6.82,normal
0.004561,AODV,84,0,28,4,3000,Route Reply,100,14,50,1,0,7,10,6.29,2,2.49,3,6.82,normal
0.000914,AODV,84,0,28,5,2975,Route Reply,0,14,52,1,0,7,10,6.29,2,2.49,3,6.82,normal
0.000914,AODV,84,0,28,5,2993,Route Reply,0,11,52,1,0,7,10,6.29,2,2.49,3,6.82,normal
0.003356,AODV,84,0,28,0,0,Route Error,"1,0",9,66,2,0,7,10,6.29,2,2.49,3,6.82,normal
0.001018,AODV,92,0,36,0,0,Route Error,"1,1,0",11,67,2,0,7,10,6.29,2,2.49,3,6.82,normal
0.003309,AODV,76,0,20,0,0,Route Error,0,9,77,2,0,7,10,6.29,2,2.49,3,6.82,normal
0.939382,AODV,88,10240,32,4,0,Route Request,0,1,40,1,0,2,21,19,4,2.61,9,23.68,normal
0.004,AODV,88,10240,32,0,0,Route Request,0,2,40,0,0,2,21,19,4,2.61,9,23.68,attack
0.001843,AODV,88,10240,32,1,0,Route Request,0,1,41,1,0,2,21,19,4,2.61,9,23.68,normal
0.003342,AODV,88,10240,32,5,0,Route Request,0,4,40,1,0,2,21,19,4,2.61,9,23.68,normal
0.002823,AODV,88,10240,32,3,0,Route Request,0,1,43,1,0,2,21,19,4,2.61,9,23.68,normal
0.000346,AODV,84,16384,28,1,3000,Route Reply,100,6,42,1,0,2,21,19,4,2.61,9,23.68,attack
0.001507,AODV,88,10240,32,1,0,Route Request,0,4,41,1,0,2,21,19,4,2.61,9,23.68,normal
0.001862,AODV,88,10240,32,3,0,Route Request,0,1,45,1,0,2,21,19,4,2.61,9,23.68,normal
0.001024,AODV,88,10240,32,4,0,Route Request,0,4,42,1,0,2,21,19,4,2.61,9,23.68,normal
0.000914,AODV,84,0,28,2,3000,Route Reply,100,7,47,1,0,2,21,19,4,2.61,9,23.68,normal
0.001236,AODV,84,16384,28,1,3000,Route Reply,100,6,43,1,0,2,21,19,4,2.61,9,23.68,attack
0.002057,AODV,88,10240,32,4,0,Route Request,0,4,43,1,0,2,21,19,4,2.61,9,23.68,normal
0.000975,AODV,84,0,28,2,3000,Route Reply,100,7,48,1,0,2,21,19,4,2.61,9,23.68,normal
0.00105,AODV,66,0,10,0,0,Route Reply Acknowledgment,0,6,49,2,0,2,21,19,4,2.61,9,23.68,normal
0.001507,AODV,84,16384,28,1,3000,Route Reply,100,6,46,1,0,2,21,19,4,2.61,9,23.68,attack
0.00085,AODV,66,0,10,0,0,Route Reply Acknowledgment,0,6,50,2,0,2,21,19,4,2.61,9,23.68,normal
0.001355,AODV,66,0,10,0,0,Route Reply Acknowledgment,0,6,51,2,0,2,21,19,4,2.61,9,23.68,normal
0.003381,AODV,84,0,28,2,3000,Route Reply,100,7,52,1,0,2,21,19,4,2.61,9,23.68,normal
0.000914,AODV,84,0,28,4,3000,Route Reply,100,6,54,1,0,2,21,19,4,2.61,9,23.68,normal
0.000914,AODV,84,0,28,4,3000,Route Reply,100,6,55,1,0,2,21,19,4,2.61,9,23.68,normal
0.000914,AODV,84,0,28,6,2970,Route Reply,100,6,56,1,0,2,21,19,4,2.61,9,23.68,normal
0.001014,AODV,84,0,28,2,2994,Route Reply,0,8,47,1,0,2,21,19,4,2.61,9,23.68,normal
0.001074,AODV,84,0,28,2,2975,Route Reply,0,9,49,1,0,2,21,19,4,2.61,9,23.68,normal
0.000914,AODV,84,0,28,3,2975,Route Reply,0,7,59,1,0,2,21,19,4,2.61,9,23.68,normal
0.003459,AODV,84,0,28,2,2993,Route Reply,0,9,50,1,0,2,21,19,4,2.61,9,23.68,normal
0.000914,AODV,84,0,28,3,2993,Route Reply,0,7,60,1,0,2,21,19,4,2.61,9,23.68,normal
0.002599,AODV,66,0,10,0,0,Route Reply Acknowledgment,0,10,51,2,0,2,21,19,4,2.61,9,23.68,normal
0.001947,AODV,66,0,10,0,0,Route Reply Acknowledgment,0,10,52,2,0,2,21,19,4,2.61,9,23.68,normal
0.00192,AODV,66,0,10,0,0,Route Reply Acknowledgment,0,10,53,2,0,2,21,19,4,2.61,9,23.68,normal
0.00085,AODV,76,0,20,0,0,Route Error,1,6,67,2,0,2,21,19,4,2.61,9,23.68,normal
0.001486,AODV,76,0,20,0,0,Route Error,0,4,62,2,0,2,21,19,4,2.61,9,23.68,normal
0.003311,AODV,100,0,44,0,0,Route Error,"1,1,1,0",10,65,2,0,2,21,19,4,2.61,9,23.68,normal
0.007486,AODV,76,0,20,0,0,Route Error,1,6,72,2,0,2,21,19,4,2.61,9,23.68,normal
0.005486,AODV,76,0,20,0,0,Route Error,1,6,74,2,0,2,21,19,4,2.61,9,23.68,normal
0.005486,AODV,76,0,20,0,0,Route Error,1,6,79,2,0,2,21,19,4,2.61,9,23.68,normal
0.010801,AODV,76,0,20,0,0,Route Error,0,6,102,2,0,2,21,19,4,2.61,9,23.68,normal
0.006558,AODV,76,0,20,0,0,Route Error,0,6,111,2,0,2,21,19,4,2.61,9,23.68,normal
0.005258,AODV,76,0,20,0,0,Route Error,0,4,102,2,0,2,21,19,4,2.61,9,23.68,normal
0.001214,AODV,84,0,28,6,5119,Route Reply,1,3,41,1,0,1,7,8,1,2.67,2,25,normal
0.003416,AODV,84,0,28,2,5439,Route Reply,1,3,42,1,0,1,7,8,1,2.67,2,25,normal
0.008823,AODV,84,0,28,5,5199,Route Reply,1,3,46,1,0,1,7,8,1,2.67,2,25,normal
0.001014,AODV,84,16384,28,1,2975,Route Reply,0,4,48,1,0,1,7,8,1,2.67,2,25,normal
0.00161,AODV,84,16384,28,1,2994,Route Reply,0,4,49,1,0,1,7,8,1,2.67,2,25,normal
0.001329,AODV,84,16384,28,1,2993,Route Reply,0,4,50,1,0,1,7,8,1,2.67,2,25,normal
0.041665,AODV,76,0,20,0,0,Route Error,0,4,60,2,0,1,7,8,1,2.67,2,25,normal
0.002057,AODV,100,0,44,0,0,Route Error,"1,1,1,0",4,65,2,0,1,7,8,1,2.67,2,25,normal
0.906,AODV,88,10240,32,0,0,Route Request,0,2,40,0,0,2,11,13,4,2.44,2,7.69,normal
0.002029,AODV,84,16384,28,1,3000,Route Reply,100,4,41,1,0,2,11,13,4,2.44,2,7.69,attack
0.001611,AODV,88,10240,32,1,0,Route Request,0,0,40,1,0,2,11,13,4,2.44,2,7.69,normal
0.001126,AODV,88,10240,32,0,0,Route Request,0,1,42,0,0,2,11,13,4,2.44,2,7.69,attack
0.003141,AODV,88,10240,32,1,0,Route Request,0,0,41,1,0,2,11,13,4,2.44,2,7.69,normal
0.000914,AODV,66,0,10,0,0,Route Reply Acknowledgment,0,4,43,2,0,2,11,13,4,2.44,2,7.69,normal
0.00013,UDP,1104,0,1048,0,0,0,0,5,44,2,0,2,11,13,4,2.44,2,7.69,normal
0.000997,UDP,1104,0,1048,0,0,0,0,5,45,2,0,2,11,13,4,2.44,2,7.69,normal
0.005262,AODV,88,10240,32,2,0,Route Request,0,0,42,1,0,2,11,13,4,2.44,2,7.69,normal
0.00005,AODV,84,0,28,3,5359,Route Reply,1,4,46,1,0,2,11,13,4,2.44,2,7.69,normal
0.000354,AODV,84,0,28,2,2985,Route Reply,100,6,48,1,0,2,11,13,4,2.44,2,7.69,normal
0.000914,AODV,84,16384,28,1,3000,Route Reply,100,7,46,1,0,2,11,13,4,2.44,2,7.69,attack
0.00063,UDP,1104,0,1048,0,0,0,0,5,49,2,0,2,11,13,4,2.44,2,7.69,normal
0.008258,AODV,84,0,28,3,2985,Route Reply,100,8,47,1,0,2,11,13,4,2.44,2,7.69,normal
0.001629,AODV,84,0,28,3,2985,Route Reply,100,8,47,1,0,2,11,13,4,2.44,2,7.69,normal
0.000785,UDP,1104,0,1048,0,0,0,0,5,51,2,0,2,11,13,4,2.44,2,7.69,normal
0.000914,AODV,84,16384,28,1,3000,Route Reply,100,9,49,1,0,2,11,13,4,2.44,2,7.69,attack
0.000974,AODV,84,0,28,4,5279,Route Reply,1,6,48,1,0,2,11,13,4,2.44,2,7.69,normal
0.000354,AODV,84,0,28,5,5279,Route Reply,1,4,52,1,0,2,11,13,4,2.44,2,7.69,normal
0.001034,AODV,84,0,28,3,2970,Route Reply,100,10,50,1,0,2,11,13,4,2.44,2,7.69,normal
0.00005,UDP,1104,0,1048,0,0,0,0,5,53,2,0,2,11,13,4,2.44,2,7.69,normal
0.003592,AODV,84,0,28,3,3000,Route Reply,100,6,51,1,0,2,11,13,4,2.44,2,7.69,normal
0.001219,AODV,84,0,28,5,3000,Route Reply,100,6,52,1,0,2,11,13,4,2.44,2,7.69,normal
0.000914,AODV,84,0,28,6,2975,Route Reply,0,6,54,1,0,2,11,13,4,2.44,2,7.69,normal
0.006412,AODV,84,0,28,0,0,Route Error,"1,0",6,70,2,0,2,11,13,4,2.44,2,7.69,normal
0.00199,AODV,76,0,20,0,0,Route Error,1,4,70,2,0,2,11,13,4,2.44,2,7.69,normal
0.923246,AODV,88,10240,32,4,0,Route Request,0,0,40,1,0,2,19,16,4,3.38,8,25,normal
0.005843,AODV,88,10240,32,1,0,Route Request,0,0,41,1,0,2,19,16,4,3.38,8,25,normal
0.002157,AODV,88,10240,32,5,0,Route Request,0,2,40,1,0,2,19,16,4,3.38,8,25,normal
0.000505,AODV,88,10240,32,2,0,Route Request,0,2,41,1,0,2,19,16,4,3.38,8,25,normal
0.00567,AODV,88,10240,32,3,0,Route Request,0,0,43,1,0,2,19,16,4,3.38,8,25,normal
0.003695,AODV,88,10240,32,4,0,Route Request,0,2,42,1,0,2,19,16,4,3.38,8,25,normal
0.001862,AODV,88,10240,32,3,0,Route Request,0,0,45,1,0,2,19,16,4,3.38,8,25,normal
0.000914,AODV,84,0,28,2,3000,Route Reply,100,3,47,1,0,2,19,16,4,3.38,8,25,normal
0.001005,AODV,88,10240,32,4,0,Route Request,0,2,43,1,0,2,19,16,4,3.38,8,25,normal
0.002277,AODV,84,0,28,2,3000,Route Reply,100,3,48,1,0,2,19,16,4,3.38,8,25,normal
0.00105,AODV,66,0,10,0,0,Route Reply Acknowledgment,0,4,49,2,0,2,19,16,4,3.38,8,25,normal
0.00085,AODV,66,0,10,0,0,Route Reply Acknowledgment,0,4,50,2,0,2,19,16,4,3.38,8,25,normal
0.001365,AODV,66,0,10,0,0,Route Reply Acknowledgment,0,4,51,2,0,2,19,16,4,3.38,8,25,normal
0.003391,AODV,84,0,28,2,3000,Route Reply,100,3,52,1,0,2,19,16,4,3.38,8,25,normal
0.000914,AODV,84,0,28,4,3000,Route Reply,100,4,54,1,0,2,19,16,4,3.38,8,25,normal
0.000914,AODV,84,0,28,3,3000,Route Reply,100,3,54,1,0,2,19,16,4,3.38,8,25,normal
0.000914,AODV,84,0,28,4,3000,Route Reply,100,4,55,1,0,2,19,16,4,3.38,8,25,normal
0.000914,AODV,84,0,28,5,2970,Route Reply,100,3,55,1,0,2,19,16,4,3.38,8,25,normal
0.000914,AODV,84,0,28,6,2970,Route Reply,100,4,56,1,0,2,19,16,4,3.38,8,25,normal
0.000914,AODV,84,0,28,3,2975,Route Reply,0,3,59,1,0,2,19,16,4,3.38,8,25,normal
0.000914,AODV,84,0,28,4,2975,Route Reply,0,6,58,1,0,2,19,16,4,3.38,8,25,normal
0.000914,AODV,84,0,28,3,2993,Route Reply,0,3,60,1,0,2,19,16,4,3.38,8,25,normal
0.001014,AODV,84,0,28,4,2993,Route Reply,0,7,59,1,0,2,19,16,4,3.38,8,25,normal
0.002287,AODV,84,0,28,3,3000,Route Reply,100,8,60,1,0,2,19,16,4,3.38,8,25,normal
0.97899,AODV,84,0,28,0,0,Route Error,"1,0",3,67,2,0,2,19,16,4,3.38,8,25,normal
0.00085,AODV,76,0,20,0,0,Route Error,1,4,67,2,0,2,19,16,4,3.38,8,25,normal
0.005765,AODV,84,0,28,0,0,Route Error,"1,0",3,72,2,0,2,19,16,4,3.38,8,25,normal
0.001791,AODV,76,0,20,0,0,Route Error,1,4,72,2,0,2,19,16,4,3.38,8,25,normal
0.004746,AODV,76,0,20,0,0,Route Error,1,3,74,2,0,2,19,16,4,3.38,8,25,normal
0.005486,AODV,76,0,20,0,0,Route Error,1,4,74,2,0,2,19,16,4,3.38,8,25,normal
0.003721,AODV,84,0,28,0,0,Route Error,"1,0",3,79,2,0,2,19,16,4,3.38,8,25,normal
0.001747,AODV,76,0,20,0,0,Route Error,1,4,79,2,0,2,19,16,4,3.38,8,25,normal
0.024426,AODV,88,10240,32,5,0,Route Request,0,3,40,1,0,1,12,20,8,2.93,3,15,normal
0.000654,AODV,84,0,28,6,5119,Route Reply,1,4,41,1,0,1,12,20,8,2.93,3,15,normal
0.002501,AODV,88,10240,32,1,0,Route Request,0,3,41,1,0,1,12,20,8,2.93,3,15,normal
0.00005,AODV,84,0,28,2,5439,Route Reply,1,4,42,1,0,1,12,20,8,2.93,3,15,normal
0.003555,AODV,88,10240,32,4,0,Route Request,0,3,42,1,0,1,12,20,8,2.93,3,15,normal
0.00005,AODV,84,0,28,5,5199,Route Reply,1,4,45,1,0,1,12,20,8,2.93,3,15,normal
0.007909,AODV,88,10240,32,4,0,Route Request,0,3,43,1,0,1,12,20,8,2.93,3,15,normal
0.00005,AODV,84,0,28,5,5199,Route Reply,1,4,46,1,0,1,12,20,8,2.93,3,15,normal
0.000454,AODV,84,16384,28,1,2975,Route Reply,0,5,48,1,0,1,12,20,8,2.93,3,15,normal
0.00043,AODV,84,16384,28,1,2994,Route Reply,0,5,49,1,0,1,12,20,8,2.93,3,15,normal
0.00015,AODV,84,16384,28,1,2993,Route Reply,0,5,50,1,0,1,12,20,8,2.93,3,15,normal
0.001169,AODV,84,0,28,2,2994,Route Reply,0,6,47,1,0,1,12,20,8,2.93,3,15,normal
0.001074,AODV,84,0,28,2,2975,Route Reply,0,7,49,1,0,1,12,20,8,2.93,3,15,normal
0.004688,AODV,84,0,28,2,2993,Route Reply,0,7,50,1,0,1,12,20,8,2.93,3,15,normal
0.003829,AODV,66,0,10,0,0,Route Reply Acknowledgment,0,5,51,2,0,1,12,20,8,2.93,3,15,normal
0.001936,AODV,66,0,10,0,0,Route Reply Acknowledgment,0,5,52,2,0,1,12,20,8,2.93,3,15,normal
0.001911,AODV,66,0,10,0,0,Route Reply Acknowledgment,0,5,53,2,0,1,12,20,8,2.93,3,15,normal
0.039014,AODV,76,0,20,0,0,Route Error,0,5,60,2,0,1,12,20,8,2.93,3,15,normal
0.001486,AODV,76,0,20,0,0,Route Error,0,3,62,2,0,1,12,20,8,2.93,3,15,normal
0.002921,AODV,100,0,44,0,0,Route Error,"1,1,1,0",5,65,2,0,1,12,20,8,2.93,3,15,normal
